FINAL:
WRITTEN: 101468723  |  READ: 101468723
WRITTEN: 1370467271  |  READ: 1370467271
WRITTEN: 1475447959  |  READ: 1475447959
WRITTEN: 335075559  |  READ: 335075559
WRITTEN: 1120257097  |  READ: 1120257097
WRITTEN: 1794885681  |  READ: 1794885681
WRITTEN: 1796795933  |  READ: 1796795933
WRITTEN: 1769814695  |  READ: 1769814695
WRITTEN: 1985793707  |  READ: 1985793707
WRITTEN: 1161933695  |  READ: 1161933695
WRITTEN: 141479400  |  READ: 141479400
WRITTEN: 990813896  |  READ: 990813896
WRITTEN: 1028918097  |  READ: 1028918097
WRITTEN: 379831488  |  READ: 379831488
WRITTEN: 448072737  |  READ: 448072737
WRITTEN: 237425253  |  READ: 237425253
WRITTEN: 1697749174  |  READ: 1697749174
WRITTEN: 522036363  |  READ: 522036363
WRITTEN: 382068799  |  READ: 382068799
WRITTEN: 1912259099  |  READ: 1912259099
WRITTEN: 1568911964  |  READ: 1568911964
WRITTEN: 1162041815  |  READ: 1162041815
WRITTEN: 779009816  |  READ: 779009816
WRITTEN: 1263223881  |  READ: 1263223881
WRITTEN: 730119854  |  READ: 730119854
WRITTEN: 366455586  |  READ: 366455586
WRITTEN: 842295282  |  READ: 842295282
WRITTEN: 1932923489  |  READ: 1932923489
WRITTEN: 1976873845  |  READ: 1976873845
WRITTEN: 547075174  |  READ: 547075174
WRITTEN: 1952311907  |  READ: 1952311907
WRITTEN: 2078342569  |  READ: 2078342569
WRITTEN: 1917542445  |  READ: 1917542445
WRITTEN: 1280276218  |  READ: 1280276218
WRITTEN: 265934480  |  READ: 265934480
WRITTEN: 890315894  |  READ: 890315894
WRITTEN: 927678251  |  READ: 927678251
WRITTEN: 2062730413  |  READ: 2062730413
WRITTEN: 512646941  |  READ: 512646941
WRITTEN: 765988310  |  READ: 765988310
WRITTEN: 1077180460  |  READ: 1077180460
WRITTEN: 654126341  |  READ: 654126341
WRITTEN: 1756802207  |  READ: 1756802207
WRITTEN: 2106098557  |  READ: 2106098557
WRITTEN: 1033957829  |  READ: 1033957829
WRITTEN: 57391296  |  READ: 57391296
WRITTEN: 196040162  |  READ: 196040162
WRITTEN: 584223355  |  READ: 584223355
WRITTEN: 579427659  |  READ: 579427659
WRITTEN: 578108961  |  READ: 578108961
WRITTEN: 348998807  |  READ: 348998807
WRITTEN: 855975  |  READ: 855975
WRITTEN: 1740150776  |  READ: 1740150776
WRITTEN: 1128008623  |  READ: 1128008623
WRITTEN: 1264079857  |  READ: 1264079857
WRITTEN: 322786982  |  READ: 322786982
WRITTEN: 1494464209  |  READ: 1494464209
WRITTEN: 2106375139  |  READ: 2106375139
WRITTEN: 108226823  |  READ: 108226823
WRITTEN: 1323854407  |  READ: 1323854407
WRITTEN: 505966665  |  READ: 505966665
WRITTEN: 2060538730  |  READ: 2060538730
WRITTEN: 1254713328  |  READ: 1254713328
WRITTEN: 276025462  |  READ: 276025462
WRITTEN: 1193331300  |  READ: 1193331300
WRITTEN: 1520647808  |  READ: 1520647808
WRITTEN: 1166341356  |  READ: 1166341356
WRITTEN: 2121009552  |  READ: 2121009552
WRITTEN: 1435894573  |  READ: 1435894573
WRITTEN: 1678988297  |  READ: 1678988297
WRITTEN: 739514214  |  READ: 739514214
WRITTEN: 365591385  |  READ: 365591385
WRITTEN: 185630990  |  READ: 185630990
WRITTEN: 348832773  |  READ: 348832773
WRITTEN: 324206294  |  READ: 324206294
WRITTEN: 1219588819  |  READ: 1219588819
WRITTEN: 406224070  |  READ: 406224070
WRITTEN: 520246456  |  READ: 520246456
WRITTEN: 1803812175  |  READ: 1803812175
WRITTEN: 985651729  |  READ: 985651729
WRITTEN: 1098355417  |  READ: 1098355417
WRITTEN: 5327334  |  READ: 5327334
WRITTEN: 986507705  |  READ: 986507705
WRITTEN: 691022546  |  READ: 691022546
WRITTEN: 1133335957  |  READ: 1133335957
WRITTEN: 103103914  |  READ: 103103914
WRITTEN: 1013809528  |  READ: 1013809528
WRITTEN: 480316519  |  READ: 480316519
WRITTEN: 61995405  |  READ: 61995405
WRITTEN: 1122036352  |  READ: 1122036352
WRITTEN: 1804170926  |  READ: 1804170926
WRITTEN: 567962071  |  READ: 567962071
WRITTEN: 1035091434  |  READ: 1035091434
WRITTEN: 911400606  |  READ: 911400606
WRITTEN: 843987533  |  READ: 843987533
WRITTEN: 80939087  |  READ: 80939087
WRITTEN: 284564766  |  READ: 284564766
WRITTEN: 2010328890  |  READ: 2010328890
WRITTEN: 54464991  |  READ: 54464991
WRITTEN: 1720459339  |  READ: 1720459339
DIFF COUNT: 100
